expected_cut,best_sampled_cut,optimizer,depth,noise_condition,optimizer_evaluations,circuit_executions,total_executed_shots,two_qubit_gates,circuit_depth,simulator_runtime_seconds,optimal_parameters,experiment_id,graph_id,graph_family,num_nodes,num_edges,graph_seed,config_id,shots_per_circuit,exact_optimum,run_seed,schema_version,expected_approximation_ratio,best_sampled_approximation_ratio,run_status,failure_reason
7.67578125,12,COBYLA,3,N0,52,53,13568,45,19,0.4889642309999544,"(2.1413727752785587, 1.881774376077538, 1.5628823873990103, 0.37738704902140113, 0.7847141905092041, 0.31359526876182986)",G0003_C09_N0_S1000,G0003,erdos_renyi,10,15,10002,C09,256,12,1000,1.0,0.6396484375,1.0,success,
8.89453125,12,COBYLA,3,N0,55,56,14336,45,19,0.5212948310002048,"(2.6446091481327345, 0.7892186621370595, 0.5107961247798435, 1.1908792010382512, 0.07129532406813757, 0.012685583153543487)",G0003_C09_N0_S1001,G0003,erdos_renyi,10,15,10002,C09,256,12,1001,1.0,0.7412109375,1.0,success,
7.68359375,12,COBYLA,3,N0,53,54,27648,45,19,1.4960394189999988,"(2.115957311423316, 1.866146321779015, 1.47539526120026, 0.326228561553269, 0.8211618349121654, 0.3502613129293828)",G0003_C10_N0_S1000,G0003,erdos_renyi,10,15,10002,C10,512,12,1000,1.0,0.6402994791666666,1.0,success,
8.6171875,12,COBYLA,3,N0,55,56,28672,45,19,0.6448682380000719,"(2.6354288757332287, 0.8088300307956279, 0.6071955961433031, 1.185704387925975, -0.042159770089156515, -0.009361846393338681)",G0003_C10_N0_S1001,G0003,erdos_renyi,10,15,10002,C10,512,12,1001,1.0,0.7180989583333334,1.0,success,
9.08203125,12,SPSA,3,N0,79,80,20480,45,19,1.0727314470000238,"(1.7517509014720682, 1.796329919116057, 0.9238608741444896, 0.06205842525948657, 0.6542529110771713, 0.280136966502626)",G0003_C11_N0_S1000,G0003,erdos_renyi,10,15,10002,C11,256,12,1000,1.0,0.7568359375,1.0,success,
8.7578125,12,SPSA,3,N0,79,80,20480,45,19,0.6284839739998915,"(3.241829989880415, 0.09859866895501265, 0.6780263526055103, 1.6602675858164608, 0.213026117088726, 0.36265488236625054)",G0003_C11_N0_S1001,G0003,erdos_renyi,10,15,10002,C11,256,12,1001,1.0,0.7298177083333334,1.0,success,
8.927734375,12,SPSA,3,N0,79,80,40960,45,19,1.3541371549999894,"(1.7611655452652162, 1.8970491191301802, 0.9055319036415626, 0.014104995115318222, 0.697954132934286, 0.4276808676533944)",G0003_C12_N0_S1000,G0003,erdos_renyi,10,15,10002,C12,512,12,1000,1.0,0.7439778645833334,1.0,success,
8.859375,12,SPSA,3,N0,79,80,40960,45,19,0.7848019040000054,"(2.9296475283754204, 0.32778111412242433, 0.41408668555423944, 1.3834566852001855, -0.0021335904184339744, 0.2976834462508514)",G0003_C12_N0_S1001,G0003,erdos_renyi,10,15,10002,C12,512,12,1001,1.0,0.73828125,1.0,success,
10.2734375,14,COBYLA,1,N0,38,39,9984,16,13,0.2877525989999867,"(0.4511444392752992, 0.33974823009738914)",G0004_C01_N0_S1000,G0004,erdos_renyi,10,16,10003,C01,256,14,1000,1.0,0.7338169642857143,1.0,success,
8.49609375,14,COBYLA,1,N0,25,26,6656,16,13,0.2115435799998977,"(2.6298174477329055, 0.38199308032277635)",G0004_C01_N0_S1001,G0004,erdos_renyi,10,16,10003,C01,256,14,1001,1.0,0.6068638392857143,1.0,success,
