graph_id,config_id,noise_condition,depth,optimizer,shots,mean_expected_approximation_ratio,std_expected_approximation_ratio,n_seeds,num_nodes,num_edges,graph_family,graph_seed,density,optimizer_code,noise_code,family_code
G0012,C05,N0,2,COBYLA,256,0.6030815972222222,0.00184142390934002,2,12,22,erdos_renyi,10011,0.3333333333333333,0,0,0
G0012,C06,N0,2,COBYLA,512,0.6939019097222222,0.09575404328567837,2,12,22,erdos_renyi,10011,0.3333333333333333,0,0,0
G0012,C07,N0,2,SPSA,256,0.6259765625,0.020102211010294628,2,12,22,erdos_renyi,10011,0.3333333333333333,1,0,0
G0012,C08,N0,2,SPSA,512,0.6868489583333334,0.09529368730834333,2,12,22,erdos_renyi,10011,0.3333333333333333,1,0,0
G0012,C09,N0,3,COBYLA,256,0.6144748263888888,0.02194363491963453,2,12,22,erdos_renyi,10011,0.3333333333333333,0,0,0
G0012,C10,N0,3,COBYLA,512,0.6630316840277778,0.039206984069696846,2,12,22,erdos_renyi,10011,0.3333333333333333,0,0,0
G0012,C11,N0,3,SPSA,256,0.6296657986111112,0.012736515372934822,2,12,22,erdos_renyi,10011,0.3333333333333333,1,0,0
G0012,C12,N0,3,SPSA,512,0.6347113715277778,0.0029923138526773948,2,12,22,erdos_renyi,10011,0.3333333333333333,1,0,0
G0013,C01,N0,1,COBYLA,256,0.6480654761904763,0.003682847818679922,2,12,26,erdos_renyi,10012,0.3939393939393939,0,0,0
G0013,C02,N0,1,COBYLA,512,0.6267206101190477,0.034395168020885734,2,12,26,erdos_renyi,10012,0.3939393939393939,0,0,0
G0013,C03,N0,1,SPSA,256,0.6420200892857143,0.0001315302792385392,2,12,26,erdos_renyi,10012,0.3939393939393939,1,0,0
G0013,C04,N0,1,SPSA,512,0.6448102678571428,0.003945908377157079,2,12,26,erdos_renyi,10012,0.3939393939393939,1,0,0
G0013,C05,N0,2,COBYLA,256,0.6267671130952381,0.0003945908377157353,2,12,26,erdos_renyi,10012,0.3939393939393939,0,0,0
G0013,C06,N0,2,COBYLA,512,0.6477864583333334,0.008944058988222706,2,12,26,erdos_renyi,10012,0.3939393939393939,0,0,0
G0013,C07,N0,2,SPSA,256,0.6447172619047619,0.00078918167543151,2,12,26,erdos_renyi,10012,0.3939393939393939,1,0,0
G0013,C08,N0,2,SPSA,512,0.6502511160714286,0.01335032334271483,2,12,26,erdos_renyi,10012,0.3939393939393939,1,0,0
G0013,C09,N0,3,COBYLA,256,0.6275111607142858,0.01065395261832407,2,12,26,erdos_renyi,10012,0.3939393939393939,0,0,0
G0013,C10,N0,3,COBYLA,512,0.6421130952380952,0.03248797897192656,2,12,26,erdos_renyi,10012,0.3939393939393939,0,0,0
G0013,C11,N0,3,SPSA,256,0.6434151785714286,0.0005261211169541961,2,12,26,erdos_renyi,10012,0.3939393939393939,1,0,0
G0013,C12,N0,3,SPSA,512,0.6395554315476191,0.014139505018146143,2,12,26,erdos_renyi,10012,0.3939393939393939,1,0,0
G0014,C01,N0,1,COBYLA,256,0.574938322368421,0.0027621358640099515,2,12,22,erdos_renyi,10013,0.3333333333333333,0,0,0
G0014,C02,N0,1,COBYLA,512,0.5847553453947368,0.0032709503652749174,2,12,22,erdos_renyi,10013,0.3333333333333333,0,0,0
G0014,C03,N0,1,SPSA,256,0.587890625,0.013810679320049757,2,12,22,erdos_renyi,10013,0.3333333333333333,1,0,0
G0014,C04,N0,1,SPSA,512,0.590306332236842,0.0025440725063248706,2,12,22,erdos_renyi,10013,0.3333333333333333,1,0,0
G0014,C05,N0,2,COBYLA,256,0.579358552631579,0.0014537557178999764,2,12,22,erdos_renyi,10013,0.3333333333333333,0,0,0
G0014,C06,N0,2,COBYLA,512,0.5914370888157895,0.003125574793484994,2,12,22,erdos_renyi,10013,0.3333333333333333,0,0,0
G0014,C07,N0,2,SPSA,256,0.5779194078947368,0.00436126715369989,2,12,22,erdos_renyi,10013,0.3333333333333333,1,0,0
G0014,C08,N0,2,SPSA,512,0.5877878289473684,0.004942769440860014,2,12,22,erdos_renyi,10013,0.3333333333333333,1,0,0
G0014,C09,N0,3,COBYLA,256,0.5806949013157895,0.006541900730549835,2,12,22,erdos_renyi,10013,0.3333333333333333,0,0,0
G0014,C10,N0,3,COBYLA,512,0.5841899671052632,0.006251149586969832,2,12,22,erdos_renyi,10013,0.3333333333333333,0,0,0
G0014,C11,N0,3,SPSA,256,0.581517269736842,0.0036343892947499215,2,12,22,erdos_renyi,10013,0.3333333333333333,1,0,0
G0014,C12,N0,3,SPSA,512,0.585731907894737,0.0026167602922199103,2,12,22,erdos_renyi,10013,0.3333333333333333,1,0,0
G0015,C01,N0,1,COBYLA,256,0.6618009868421053,0.0063965251587598726,2,12,23,erdos_renyi,10014,0.3484848484848485,0,0,0
G0015,C02,N0,1,COBYLA,512,0.643040707236842,0.04484836389721422,2,12,23,erdos_renyi,10014,0.3484848484848485,0,0,0
G0015,C03,N0,1,SPSA,256,0.6053659539473684,0.033291005939909454,2,12,23,erdos_renyi,10014,0.3484848484848485,1,0,0
G0015,C04,N0,1,SPSA,512,0.6087582236842106,0.00348901372295992,2,12,23,erdos_renyi,10014,0.3484848484848485,1,0,0
G0015,C05,N0,2,COBYLA,256,0.6288034539473684,0.02107945790954964,2,12,23,erdos_renyi,10014,0.3484848484848485,0,0,0
G0015,C06,N0,2,COBYLA,512,0.6682771381578947,0.0174450686147996,2,12,23,erdos_renyi,10014,0.3484848484848485,0,0,0
G0015,C07,N0,2,SPSA,256,0.6588199013157895,0.02631297849398958,2,12,23,erdos_renyi,10014,0.3484848484848485,1,0,0
G0015,C08,N0,2,SPSA,512,0.6582545230263157,0.03627120516160437,2,12,23,erdos_renyi,10014,0.3484848484848485,1,0,0
G0015,C09,N0,3,COBYLA,256,0.6400082236842105,0.060185486721058924,2,12,23,erdos_renyi,10014,0.3484848484848485,0,0,0
G0015,C10,N0,3,COBYLA,512,0.637438322368421,0.044484924967739224,2,12,23,erdos_renyi,10014,0.3484848484848485,0,0,0
G0015,C11,N0,3,SPSA,256,0.6822574013157895,0.026022227350409575,2,12,23,erdos_renyi,10014,0.3484848484848485,1,0,0
G0015,C12,N0,3,SPSA,512,0.657689144736842,0.03663464409107933,2,12,23,erdos_renyi,10014,0.3484848484848485,1,0,0
G0016,C01,N0,1,COBYLA,256,0.5943359374999999,0.012705824974445721,2,12,24,erdos_renyi,10015,0.36363636363636365,0,0,0
G0016,C02,N0,1,COBYLA,512,0.611328125,0.007595873626027366,2,12,24,erdos_renyi,10015,0.36363636363636365,0,0,0
G0016,C03,N0,1,SPSA,256,0.6207031249999999,0.0011048543456039569,2,12,24,erdos_renyi,10015,0.36363636363636365,1,0,0
G0016,C04,N0,1,SPSA,512,0.618310546875,0.0017263349150062196,2,12,24,erdos_renyi,10015,0.36363636363636365,1,0,0
G0016,C05,N0,2,COBYLA,256,0.66357421875,0.0981939299655538,2,12,24,erdos_renyi,10015,0.36363636363636365,0,0,0
G0016,C06,N0,2,COBYLA,512,0.59736328125,0.0033145630368119493,2,12,24,erdos_renyi,10015,0.36363636363636365,0,0,0
G0016,C07,N0,2,SPSA,256,0.619921875,0.0033145630368119493,2,12,24,erdos_renyi,10015,0.36363636363636365,1,0,0
G0016,C08,N0,2,SPSA,512,0.62373046875,0.0006905339660024879,2,12,24,erdos_renyi,10015,0.36363636363636365,1,0,0
G0016,C09,N0,3,COBYLA,256,0.5978515625,0.014086892906450696,2,12,24,erdos_renyi,10015,0.36363636363636365,0,0,0
G0016,C10,N0,3,COBYLA,512,0.6046875,0.01602038801125763,2,12,24,erdos_renyi,10015,0.36363636363636365,0,0,0
G0016,C11,N0,3,SPSA,256,0.61796875,0.0024859222776089326,2,12,24,erdos_renyi,10015,0.36363636363636365,1,0,0
G0016,C12,N0,3,SPSA,512,0.60771484375,0.008562621178430872,2,12,24,erdos_renyi,10015,0.36363636363636365,1,0,0
G0017,C01,N0,1,COBYLA,256,0.6298314144736843,0.006251149586969949,2,12,24,erdos_renyi,10016,0.36363636363636365,0,0,0
G0017,C02,N0,1,COBYLA,512,0.6397512335526316,0.00457933051138497,2,12,24,erdos_renyi,10016,0.36363636363636365,0,0,0
G0017,C03,N0,1,SPSA,256,0.6404194078947368,0.010176290025299796,2,12,24,erdos_renyi,10016,0.36363636363636365,1,0,0
G0017,C04,N0,1,SPSA,512,0.6462787828947368,0.0058150228715999055,2,12,24,erdos_renyi,10016,0.36363636363636365,1,0,0
