graph_id,config_id,noise_condition,run_seed,depth,optimizer,shots,expected_approximation_ratio
G0017,C01,N0,1000,1,COBYLA,256,0.6342516447368421
G0017,C01,N0,1001,1,COBYLA,256,0.6254111842105263
G0017,C02,N0,1000,1,COBYLA,512,0.6429893092105263
G0017,C02,N0,1001,1,COBYLA,512,0.6365131578947368
G0017,C03,N0,1000,1,SPSA,256,0.6476151315789473
G0017,C03,N0,1001,1,SPSA,256,0.6332236842105263
G0017,C04,N0,1000,1,SPSA,512,0.6421669407894737
G0017,C04,N0,1001,1,SPSA,512,0.650390625
G0017,C05,N0,1000,2,COBYLA,256,0.6578947368421053
G0017,C05,N0,1001,2,COBYLA,256,0.6509046052631579
G0017,C06,N0,1000,2,COBYLA,512,0.665296052631579
G0017,C06,N0,1001,2,COBYLA,512,0.6500822368421053
G0017,C07,N0,1000,2,SPSA,256,0.6669407894736842
G0017,C07,N0,1001,2,SPSA,256,0.6566611842105263
G0017,C08,N0,1000,2,SPSA,512,0.6455592105263158
G0017,C08,N0,1001,2,SPSA,512,0.6461759868421053
G0017,C09,N0,1000,3,COBYLA,256,0.6091694078947368
G0017,C09,N0,1001,3,COBYLA,256,0.6430921052631579
G0017,C10,N0,1000,3,COBYLA,512,0.6240748355263158
G0017,C10,N0,1001,3,COBYLA,512,0.649157072368421
G0017,C11,N0,1000,3,SPSA,256,0.647203947368421
G0017,C11,N0,1001,3,SPSA,256,0.6566611842105263
G0017,C12,N0,1000,3,SPSA,512,0.6456620065789473
G0017,C12,N0,1001,3,SPSA,512,0.6463815789473685
G0018,C01,N0,1000,1,COBYLA,256,0.5765165441176471
G0018,C01,N0,1001,1,COBYLA,256,0.6530330882352942
G0018,C02,N0,1000,1,COBYLA,512,0.7642463235294118
G0018,C02,N0,1001,1,COBYLA,512,0.6465992647058824
G0018,C03,N0,1000,1,SPSA,256,0.5962775735294118
G0018,C03,N0,1001,1,SPSA,256,0.6564797794117647
G0018,C04,N0,1000,1,SPSA,512,0.5986902573529411
G0018,C04,N0,1001,1,SPSA,512,0.6595818014705882
G0018,C05,N0,1000,2,COBYLA,256,0.6357996323529411
G0018,C05,N0,1001,2,COBYLA,256,0.6401654411764706
G0018,C06,N0,1000,2,COBYLA,512,0.6007582720588235
G0018,C06,N0,1001,2,COBYLA,512,0.6441865808823529
G0018,C07,N0,1000,2,SPSA,256,0.6286764705882353
G0018,C07,N0,1001,2,SPSA,256,0.6429227941176471
G0018,C08,N0,1000,2,SPSA,512,0.5958180147058824
G0018,C08,N0,1001,2,SPSA,512,0.6525735294117647
G0018,C09,N0,1000,3,COBYLA,256,0.7624080882352942
G0018,C09,N0,1001,3,COBYLA,256,0.6498161764705882
G0018,C10,N0,1000,3,COBYLA,512,0.7699908088235294
G0018,C10,N0,1001,3,COBYLA,512,0.6487821691176471
G0018,C11,N0,1000,3,SPSA,256,0.7405790441176471
G0018,C11,N0,1001,3,SPSA,256,0.6454503676470589
G0018,C12,N0,1000,3,SPSA,512,0.7607996323529411
G0018,C12,N0,1001,3,SPSA,512,0.6437270220588235
G0019,C01,N0,1000,1,COBYLA,256,0.6125
G0019,C01,N0,1001,1,COBYLA,256,0.6990234375
G0019,C02,N0,1000,1,COBYLA,512,0.63193359375
G0019,C02,N0,1001,1,COBYLA,512,0.7228515625
G0019,C03,N0,1000,1,SPSA,256,0.6216796875
G0019,C03,N0,1001,1,SPSA,256,0.7373046875
G0019,C04,N0,1000,1,SPSA,512,0.6212890625
G0019,C04,N0,1001,1,SPSA,512,0.72744140625
G0019,C05,N0,1000,2,COBYLA,256,0.70859375
G0019,C05,N0,1001,2,COBYLA,256,0.755859375
G0019,C06,N0,1000,2,COBYLA,512,0.62705078125
G0019,C06,N0,1001,2,COBYLA,512,0.76123046875
G0019,C07,N0,1000,2,SPSA,256,0.622265625
G0019,C07,N0,1001,2,SPSA,256,0.73046875
G0019,C08,N0,1000,2,SPSA,512,0.62216796875
G0019,C08,N0,1001,2,SPSA,512,0.6970703125
G0019,C09,N0,1000,3,COBYLA,256,0.79921875
G0019,C09,N0,1001,3,COBYLA,256,0.7216796875
G0019,C10,N0,1000,3,COBYLA,512,0.78486328125
G0019,C10,N0,1001,3,COBYLA,512,0.740234375
G0019,C11,N0,1000,3,SPSA,256,0.637890625
